"","Ensembl","Symbols","Entrez"
"ENSMUSG00000020167 - Tcf3","ENSMUSG00000020167","Tcf3","21423"
"ENSMUSG00000045518 - Onecut3","ENSMUSG00000045518","Onecut3","246086"
"ENSMUSG00000003341 - Atp8b3","ENSMUSG00000003341","Atp8b3","67331"
"ENSMUSG00000047417 - Rexo1","ENSMUSG00000047417","Rexo1","66932"
"ENSMUSG00000035397 - Klf16","ENSMUSG00000035397","Klf16","118445"
"ENSMUSG00000003346 - Abhd17a","ENSMUSG00000003346","Abhd17a","216169"
"ENSMUSG00000113949 - Scamp4","ENSMUSG00000113949","Scamp4","56214"
"ENSMUSG00000003345 - Csnk1g2","ENSMUSG00000003345","Csnk1g2","103236"
"ENSMUSG00000003344 - Btbd2","ENSMUSG00000003344","Btbd2","208198"
"ENSMUSG00000020190 - Mknk2","ENSMUSG00000020190","Mknk2","17347"
"ENSMUSG00000003348 - Mob3a","ENSMUSG00000003348","Mob3a","208228"
"ENSMUSG00000055862 - Izumo4","ENSMUSG00000055862","Izumo4","71564"
"ENSMUSG00000020198 - Ap3d1","ENSMUSG00000020198","Ap3d1","11776"
"ENSMUSG00000061589 - Dot1l","ENSMUSG00000061589","Dot1l","208266"
"ENSMUSG00000035278 - Plekhj1","ENSMUSG00000035278","Plekhj1","78670"
"ENSMUSG00000020211 - Sf3a2","ENSMUSG00000020211","Sf3a2","20222"
"ENSMUSG00000035262 - Amh","ENSMUSG00000035262","Amh","11705"
"ENSMUSG00000020216 - Jsrp1","ENSMUSG00000020216","Jsrp1","71912"
"ENSMUSG00000035242 - Oaz1","ENSMUSG00000035242","Oaz1","18245"
"ENSMUSG00000051067 - Lingo3","ENSMUSG00000051067","Lingo3","237403"
"ENSMUSG00000035215 - Lsm7","ENSMUSG00000035215","Lsm7","66094"
"ENSMUSG00000035206 - Sppl2b","ENSMUSG00000035206","Sppl2b","73218"
"ENSMUSG00000059406 - Tmprss9","ENSMUSG00000059406","Tmprss9","432478"
"ENSMUSG00000020219 - Timm13","ENSMUSG00000020219","Timm13","30055"
"ENSMUSG00000062075 - Lmnb2","ENSMUSG00000062075","Lmnb2","16907"
"ENSMUSG00000015312 - Gadd45b","ENSMUSG00000015312","Gadd45b","17873"
"ENSMUSG00000048240 - Gng7","ENSMUSG00000048240","Gng7","14708"
"ENSMUSG00000043670 - Diras1","ENSMUSG00000043670","Diras1","208666"
"ENSMUSG00000046822 - Slc39a3","ENSMUSG00000046822","Slc39a3","106947"
"ENSMUSG00000004937 - Sgta","ENSMUSG00000004937","Sgta","52551"
"ENSMUSG00000004929 - Thop1","ENSMUSG00000004929","Thop1","50492"
"ENSMUSG00000035041 - Creb3l3","ENSMUSG00000035041","Creb3l3","208677"
"ENSMUSG00000035027 - Map2k2","ENSMUSG00000035027","Map2k2","26396"
"ENSMUSG00000035011 - Zbtb7a","ENSMUSG00000035011","Zbtb7a","16969"
"ENSMUSG00000004934 - Pias4","ENSMUSG00000004934","Pias4","59004"
"ENSMUSG00000034994 - Eef2","ENSMUSG00000034994","Eef2","13629"
"ENSMUSG00000064441 - Snord37","ENSMUSG00000064441","Snord37","100217454"
"ENSMUSG00000034974 - Dapk3","ENSMUSG00000034974","Dapk3","13144"
"ENSMUSG00000034958 - Atcay","ENSMUSG00000034958","Atcay","16467"
"ENSMUSG00000034949 - Zfr2","ENSMUSG00000034949","Zfr2","103406"
"ENSMUSG00000004933 - Matk","ENSMUSG00000004933","Matk","17179"
"ENSMUSG00000034932 - Mrpl54","ENSMUSG00000034932","Mrpl54","66047"
"ENSMUSG00000004931 - Apba3","ENSMUSG00000004931","Apba3","57267"
"ENSMUSG00000034917 - Tjp3","ENSMUSG00000034917","Tjp3","27375"
"ENSMUSG00000034902 - Pip5k1c","ENSMUSG00000034902","Pip5k1c","18717"
"ENSMUSG00000034889 - Cactin","ENSMUSG00000034889","Cactin","70312"
"ENSMUSG00000034881 - Tbxa2r","ENSMUSG00000034881","Tbxa2r","21390"
"ENSMUSG00000034872 - Gipc3","ENSMUSG00000034872","Gipc3","209047"
"ENSMUSG00000020232 - Hmg20b","ENSMUSG00000020232","Hmg20b","15353"
"ENSMUSG00000034854 - Mfsd12","ENSMUSG00000034854","Mfsd12","73822"
"ENSMUSG00000020234 - Tektip1","ENSMUSG00000020234","Tektip1","432479"
"ENSMUSG00000020235 - Fzr1","ENSMUSG00000020235","Fzr1","56371"
"ENSMUSG00000078440 - Dohh","ENSMUSG00000078440","Dohh","102115"
"ENSMUSG00000113262 - Gm48551","ENSMUSG00000113262","Gm48551","117934533"
"ENSMUSG00000098811 - Mir6913","ENSMUSG00000098811","Mir6913","102466763"
"ENSMUSG00000114004 - Gm48552","ENSMUSG00000114004","Gm48552","117934532"
"ENSMUSG00000078439 - Smim24","ENSMUSG00000078439","Smim24","72273"
"ENSMUSG00000055053 - Nfic","ENSMUSG00000055053","Nfic","18029"
"ENSMUSG00000085327 - Gm16104","ENSMUSG00000085327","Gm16104","102634174"
"ENSMUSG00000034818 - Celf5","ENSMUSG00000034818","Celf5","319586"
"ENSMUSG00000020238 - Ncln","ENSMUSG00000020238","Ncln","103425"
"ENSMUSG00000044199 - S1pr4","ENSMUSG00000044199","S1pr4","13611"
"ENSMUSG00000034792 - Gna15","ENSMUSG00000034792","Gna15","14676"
"ENSMUSG00000034781 - Gna11","ENSMUSG00000034781","Gna11","14672"
"ENSMUSG00000054452 - Tle5","ENSMUSG00000054452","Tle5","14797"
"ENSMUSG00000034771 - Tle2","ENSMUSG00000034771","Tle2","21886"
"ENSMUSG00000034758 - Tle6","ENSMUSG00000034758","Tle6","114606"
"ENSMUSG00000074862 - BC025920","ENSMUSG00000074862","BC025920","268319"
"ENSMUSG00000034748 - Sirt6","ENSMUSG00000034748","Sirt6","50721"
"ENSMUSG00000054708 - Ankrd24","ENSMUSG00000054708","Ankrd24","70615"
"ENSMUSG00000096856 - Gm10778","ENSMUSG00000096856","Gm10778","100233208"
"ENSMUSG00000096795 - Zfp433","ENSMUSG00000096795","Zfp433","73610"
"ENSMUSG00000094622 - Gm3055","ENSMUSG00000094622","Gm3055","100040944"
"ENSMUSG00000112640 - Gm32687","ENSMUSG00000112640","Gm32687","102635315"
"ENSMUSG00000096718 - Zfp781","ENSMUSG00000096718","Zfp781","331188"
"ENSMUSG00000061371 - Zfp873","ENSMUSG00000061371","Zfp873","408062"
"ENSMUSG00000112160 - BC024063","ENSMUSG00000112160","BC024063","666584"
"ENSMUSG00000078435 - AU041133","ENSMUSG00000078435","AU041133","216177"
"ENSMUSG00000062931 - Zfp938","ENSMUSG00000062931","Zfp938","237411"
"ENSMUSG00000073427 - Gm4924","ENSMUSG00000073427","Gm4924","237412"
"ENSMUSG00000063320 - Uqcc6","ENSMUSG00000063320","Uqcc6","544717"
"ENSMUSG00000034674 - Tdg","ENSMUSG00000034674","Tdg","21665"
"ENSMUSG00000020251 - Glt8d2","ENSMUSG00000020251","Glt8d2","74782"
"ENSMUSG00000020246 - Hcfc2","ENSMUSG00000020246","Hcfc2","67933"
"ENSMUSG00000020248 - Nfyb","ENSMUSG00000020248","Nfyb","18045"
"ENSMUSG00000056821 - 1700028I16Rik","ENSMUSG00000056821","1700028I16Rik","70003"
"ENSMUSG00000020250 - Txnrd1","ENSMUSG00000020250","Txnrd1","50493"
"ENSMUSG00000109864 - Eid3","ENSMUSG00000109864","Eid3","66341"
"ENSMUSG00000071151 - Gm4799","ENSMUSG00000071151","Gm4799","216185"
"ENSMUSG00000034612 - Chst11","ENSMUSG00000034612","Chst11","58250"
"ENSMUSG00000034591 - Slc41a2","ENSMUSG00000034591","Slc41a2","338365"
"ENSMUSG00000020255 - Nopchap1","ENSMUSG00000020255","Nopchap1","28109"
"ENSMUSG00000020256 - Aldh1l2","ENSMUSG00000020256","Aldh1l2","216188"
"ENSMUSG00000034560 - Washc4","ENSMUSG00000034560","Washc4","319277"
"ENSMUSG00000020263 - Appl2","ENSMUSG00000020263","Appl2","216190"
"ENSMUSG00000087651 - 1500009L16Rik","ENSMUSG00000087651","1500009L16Rik","69784"
"ENSMUSG00000111524 - Gm34113","ENSMUSG00000111524","Gm34113","102637247"
"ENSMUSG00000111875 - Gm5425","ENSMUSG00000111875","Gm5425","432482"
"ENSMUSG00000020032 - Nuak1","ENSMUSG00000020032","Nuak1","77976"
"ENSMUSG00000046841 - Ckap4","ENSMUSG00000046841","Ckap4","216197"
"ENSMUSG00000097076 - Platr7","ENSMUSG00000097076","Platr7","442847"
"ENSMUSG00000020034 - Tcp11l2","ENSMUSG00000020034","Tcp11l2","216198"
"ENSMUSG00000034453 - Polr3b","ENSMUSG00000034453","Polr3b","70428"
"ENSMUSG00000020037 - Rfx4","ENSMUSG00000020037","Rfx4","71137"
"ENSMUSG00000035620 - Ric8b","ENSMUSG00000035620","Ric8b","237422"
"ENSMUSG00000050035 - Fhl4","ENSMUSG00000050035","Fhl4","14202"
"ENSMUSG00000060935 - Tmem263","ENSMUSG00000060935","Tmem263","103266"
"ENSMUSG00000049038 - Mterf2","ENSMUSG00000049038","Mterf2","74238"
"ENSMUSG00000020038 - Cry1","ENSMUSG00000020038","Cry1","12952"
"ENSMUSG00000050490 - Psma5-ps","ENSMUSG00000050490","Psma5-ps","666974"
"ENSMUSG00000020042 - Abtb3","ENSMUSG00000020042","Abtb3","74007"
"ENSMUSG00000001785 - Pwp1","ENSMUSG00000001785","Pwp1","103136"
"ENSMUSG00000035529 - Prdm4","ENSMUSG00000035529","Prdm4","72843"
"ENSMUSG00000085111 - Ascl4","ENSMUSG00000085111","Ascl4","67341"
"ENSMUSG00000001783 - Rtcb","ENSMUSG00000001783","Rtcb","28088"
"ENSMUSG00000050108 - Bpifc","ENSMUSG00000050108","Bpifc","270757"
"ENSMUSG00000001786 - Fbxo7","ENSMUSG00000001786","Fbxo7","69754"
"ENSMUSG00000059602 - Syn3","ENSMUSG00000059602","Syn3","27204"
"ENSMUSG00000020044 - Timp3","ENSMUSG00000020044","Timp3","21859"
"ENSMUSG00000020048 - Hsp90b1","ENSMUSG00000020048","Hsp90b1","22027"
"ENSMUSG00000044937 - Ttc41","ENSMUSG00000044937","Ttc41","103220"
"ENSMUSG00000054027 - Nt5dc3","ENSMUSG00000054027","Nt5dc3","103466"
"ENSMUSG00000035459 - Stab2","ENSMUSG00000035459","Stab2","192188"
"ENSMUSG00000020052 - Ascl1","ENSMUSG00000020052","Ascl1","17172"
"ENSMUSG00000020051 - Pah","ENSMUSG00000020051","Pah","18478"
"ENSMUSG00000020053 - Igf1","ENSMUSG00000020053","Igf1","16000"
"ENSMUSG00000035383 - Pmch","ENSMUSG00000035383","Pmch","110312"
"ENSMUSG00000035365 - Parpbp","ENSMUSG00000035365","Parpbp","75317"
"ENSMUSG00000112026 - Gm6653","ENSMUSG00000112026","Gm6653","626115"
"ENSMUSG00000035351 - Nup37","ENSMUSG00000035351","Nup37","69736"
"ENSMUSG00000020056 - Washc3","ENSMUSG00000020056","Washc3","67282"
"ENSMUSG00000020057 - Dram1","ENSMUSG00000020057","Dram1","71712"
"ENSMUSG00000035311 - Gnptab","ENSMUSG00000035311","Gnptab","432486"
"ENSMUSG00000060002 - Chpt1","ENSMUSG00000060002","Chpt1","212862"
"ENSMUSG00000020059 - Sycp3","ENSMUSG00000020059","Sycp3","20962"
"ENSMUSG00000020061 - Mybpc1","ENSMUSG00000020061","Mybpc1","109272"
"ENSMUSG00000004359 - Spic","ENSMUSG00000004359","Spic","20728"
"ENSMUSG00000069540 - Gm4925","ENSMUSG00000069540","Gm4925","237433"
"ENSMUSG00000060904 - Arl1","ENSMUSG00000060904","Arl1","104303"
"ENSMUSG00000004356 - Utp20","ENSMUSG00000004356","Utp20","70683"
"ENSMUSG00000020062 - Slc5a8","ENSMUSG00000020062","Slc5a8","216225"
"ENSMUSG00000035189 - Ano4","ENSMUSG00000035189","Ano4","320091"
"ENSMUSG00000074802 - Gas2l3","ENSMUSG00000074802","Gas2l3","237436"
"ENSMUSG00000047638 - Nr1h4","ENSMUSG00000047638","Nr1h4","20186"
"ENSMUSG00000019935 - Slc17a8","ENSMUSG00000019935","Slc17a8","216227"
"ENSMUSG00000069539 - Scyl2","ENSMUSG00000069539","Scyl2","213326"
"ENSMUSG00000097383 - 1500026H17Rik","ENSMUSG00000097383","1500026H17Rik","69002"
"ENSMUSG00000019948 - Actr6","ENSMUSG00000019948","Actr6","67019"
"ENSMUSG00000019951 - Bltp3b","ENSMUSG00000019951","Bltp3b","75089"
"ENSMUSG00000058589 - Anks1b","ENSMUSG00000058589","Anks1b","77531"
"ENSMUSG00000112140 - Gm5780","ENSMUSG00000112140","Gm5780","544719"
"ENSMUSG00000019979 - Apaf1","ENSMUSG00000019979","Apaf1","11783"
"ENSMUSG00000019975 - Ikbip","ENSMUSG00000019975","Ikbip","67454"
"ENSMUSG00000061904 - Slc25a3","ENSMUSG00000061904","Slc25a3","18674"
"ENSMUSG00000077167 - Gm24119","ENSMUSG00000077167","Gm24119","115487534"
"ENSMUSG00000019961 - Tmpo","ENSMUSG00000019961","Tmpo","21917"
"ENSMUSG00000111657 - Gm31592","ENSMUSG00000111657","Gm31592","102633867"
"ENSMUSG00000112117 - Rmst","ENSMUSG00000112117","Rmst","110333"
"ENSMUSG00000019988 - Nedd1","ENSMUSG00000019988","Nedd1","17997"
"ENSMUSG00000020014 - Cfap54","ENSMUSG00000020014","Cfap54","380654"
"ENSMUSG00000020015 - Cdk17","ENSMUSG00000020015","Cdk17","237459"
"ENSMUSG00000008398 - Elk3","ENSMUSG00000008398","Elk3","13713"
"ENSMUSG00000111531 - Gm32688","ENSMUSG00000111531","Gm32688","102635316"
"ENSMUSG00000015889 - Lta4h","ENSMUSG00000015889","Lta4h","16993"
"ENSMUSG00000020017 - Hal","ENSMUSG00000020017","Hal","15109"
"ENSMUSG00000015890 - Amdhd1","ENSMUSG00000015890","Amdhd1","71761"
"ENSMUSG00000036168 - Ccdc38","ENSMUSG00000036168","Ccdc38","237465"
"ENSMUSG00000020018 - Snrpf","ENSMUSG00000020018","Snrpf","69878"
"ENSMUSG00000097407 - 4933408J17Rik","ENSMUSG00000097407","4933408J17Rik","74454"
"ENSMUSG00000020019 - Ntn4","ENSMUSG00000020019","Ntn4","57764"
"ENSMUSG00000085723 - Gm15915","ENSMUSG00000085723","Gm15915","100504069"
"ENSMUSG00000090610 - Gm3571","ENSMUSG00000090610","Gm3571","100041907"
"ENSMUSG00000020020 - Usp44","ENSMUSG00000020020","Usp44","327799"
"ENSMUSG00000036112 - Metap2","ENSMUSG00000036112","Metap2","56307"
"ENSMUSG00000036099 - Vezt","ENSMUSG00000036099","Vezt","215008"
"ENSMUSG00000020021 - Fgd6","ENSMUSG00000020021","Fgd6","13998"
"ENSMUSG00000005897 - Nr2c1","ENSMUSG00000005897","Nr2c1","22025"
"ENSMUSG00000020022 - Ndufa12","ENSMUSG00000020022","Ndufa12","66414"
"ENSMUSG00000053420 - Gm4792","ENSMUSG00000053420","Gm4792","215472"
"ENSMUSG00000020023 - Tmcc3","ENSMUSG00000020023","Tmcc3","319880"
"ENSMUSG00000098544 - Mir7211","ENSMUSG00000098544","Mir7211","102466817"
"ENSMUSG00000020024 - Cep83","ENSMUSG00000020024","Cep83","77048"
"ENSMUSG00000074785 - Plxnc1","ENSMUSG00000074785","Plxnc1","54712"
"ENSMUSG00000112481 - Gm29684","ENSMUSG00000112481","Gm29684","628062"
"ENSMUSG00000045867 - Cradd","ENSMUSG00000045867","Cradd","12905"
"ENSMUSG00000020027 - Socs2","ENSMUSG00000020027","Socs2","216233"
"ENSMUSG00000097766 - 5730420D15Rik","ENSMUSG00000097766","5730420D15Rik","70523"
"ENSMUSG00000062981 - Mrpl42","ENSMUSG00000062981","Mrpl42","67270"
"ENSMUSG00000074781 - Ube2n","ENSMUSG00000074781","Ube2n","93765"
"ENSMUSG00000020029 - Nudt4","ENSMUSG00000020029","Nudt4","71207"
"ENSMUSG00000112188 - Gm47708","ENSMUSG00000112188","Gm47708","102641383"
"ENSMUSG00000110353 - Gm33543","ENSMUSG00000110353","Gm33543","102636491"
"ENSMUSG00000036499 - Eea1","ENSMUSG00000036499","Eea1","216238"
"ENSMUSG00000112762 - 4930459C07Rik","ENSMUSG00000112762","4930459C07Rik","74881"
"ENSMUSG00000036478 - Btg1","ENSMUSG00000036478","Btg1","12226"
"ENSMUSG00000019929 - Dcn","ENSMUSG00000019929","Dcn","13179"
"ENSMUSG00000036446 - Lum","ENSMUSG00000036446","Lum","17022"
"ENSMUSG00000019943 - Atp2b1","ENSMUSG00000019943","Atp2b1","67972"
"ENSMUSG00000019952 - Poc1b","ENSMUSG00000019952","Poc1b","382406"
"ENSMUSG00000090035 - Galnt4","ENSMUSG00000090035","Galnt4","14426"
"ENSMUSG00000112805 - Gm34574","ENSMUSG00000112805","Gm34574","102637874"
"ENSMUSG00000019960 - Dusp6","ENSMUSG00000019960","Dusp6","67603"
"ENSMUSG00000046934 - Csl","ENSMUSG00000046934","Csl","71832"
"ENSMUSG00000019966 - Kitl","ENSMUSG00000019966","Kitl","17311"
"ENSMUSG00000112831 - Gm35533","ENSMUSG00000112831","Gm35533","102639153"
"ENSMUSG00000036676 - Tmtc3","ENSMUSG00000036676","Tmtc3","237500"
"ENSMUSG00000019971 - Cep290","ENSMUSG00000019971","Cep290","216274"
"ENSMUSG00000046567 - Rlig1","ENSMUSG00000046567","Rlig1","68281"
"ENSMUSG00000019888 - Mgat4c","ENSMUSG00000019888","Mgat4c","67569"
"ENSMUSG00000019890 - Nts","ENSMUSG00000019890","Nts","67405"
"ENSMUSG00000044921 - Rassf9","ENSMUSG00000044921","Rassf9","237504"
"ENSMUSG00000019892 - Lrriq1","ENSMUSG00000019892","Lrriq1","74978"
"ENSMUSG00000019894 - Slc6a15","ENSMUSG00000019894","Slc6a15","103098"
"ENSMUSG00000036019 - Tmtc2","ENSMUSG00000036019","Tmtc2","278279"
"ENSMUSG00000085282 - Gm15663","ENSMUSG00000085282","Gm15663","327812"
"ENSMUSG00000036009 - Mettl25","ENSMUSG00000036009","Mettl25","216292"
"ENSMUSG00000019897 - Ccdc59","ENSMUSG00000019897","Ccdc59","52713"
"ENSMUSG00000053825 - Ppfia2","ENSMUSG00000053825","Ppfia2","327814"
"ENSMUSG00000035948 - Acss3","ENSMUSG00000035948","Acss3","380660"
"ENSMUSG00000019906 - Lin7a","ENSMUSG00000019906","Lin7a","108030"
"ENSMUSG00000035916 - Ptprq","ENSMUSG00000035916","Ptprq","237523"
"ENSMUSG00000091455 - Otogl","ENSMUSG00000091455","Otogl","628870"
"ENSMUSG00000019907 - Ppp1r12a","ENSMUSG00000019907","Ppp1r12a","17931"
"ENSMUSG00000035873 - Pawr","ENSMUSG00000035873","Pawr","114774"
"ENSMUSG00000112532 - Gm36283","ENSMUSG00000112532","Gm36283","102640148"
"ENSMUSG00000035864 - Syt1","ENSMUSG00000035864","Syt1","20979"
"ENSMUSG00000020181 - Nav3","ENSMUSG00000020181","Nav3","260315"
"ENSMUSG00000112398 - 9230102K24Rik","ENSMUSG00000112398","9230102K24Rik","109335"
"ENSMUSG00000020185 - E2f7","ENSMUSG00000020185","E2f7","52679"
"ENSMUSG00000020186 - Csrp2","ENSMUSG00000020186","Csrp2","13008"
"ENSMUSG00000035798 - Zdhhc17","ENSMUSG00000035798","Zdhhc17","320150"
"ENSMUSG00000091086 - Rpl6l","ENSMUSG00000091086","Rpl6l","432502"
"ENSMUSG00000020189 - Osbpl8","ENSMUSG00000020189","Osbpl8","237542"
"ENSMUSG00000035759 - Bbs10","ENSMUSG00000035759","Bbs10","71769"
"ENSMUSG00000058799 - Nap1l1","ENSMUSG00000058799","Nap1l1","53605"
"ENSMUSG00000087819 - Gm25117","ENSMUSG00000087819","Gm25117","115487522"
"ENSMUSG00000111997 - Gm5176","ENSMUSG00000111997","Gm5176","382421"
"ENSMUSG00000020205 - Phlda1","ENSMUSG00000020205","Phlda1","21664"
"ENSMUSG00000097082 - 4933440J02Rik","ENSMUSG00000097082","4933440J02Rik","71321"
"ENSMUSG00000112249 - Gm30262","ENSMUSG00000112249","Gm30262","102632099"
"ENSMUSG00000063334 - Krr1","ENSMUSG00000063334","Krr1","52705"
"ENSMUSG00000056888 - Glipr1","ENSMUSG00000056888","Glipr1","73690"
"ENSMUSG00000035694 - Caps2","ENSMUSG00000035694","Caps2","353025"
"ENSMUSG00000035681 - Kcnc2","ENSMUSG00000035681","Kcnc2","268345"
"ENSMUSG00000074748 - Atxn7l3b","ENSMUSG00000074748","Atxn7l3b","382423"
"ENSMUSG00000050663 - Trhde","ENSMUSG00000050663","Trhde","237553"
"ENSMUSG00000006764 - Tph2","ENSMUSG00000006764","Tph2","216343"
"ENSMUSG00000020130 - Tbc1d15","ENSMUSG00000020130","Tbc1d15","66687"
"ENSMUSG00000111964 - Gm8942","ENSMUSG00000111964","Gm8942","668041"
"ENSMUSG00000020132 - Rab21","ENSMUSG00000020132","Rab21","216344"
"ENSMUSG00000069520 - Tmem19","ENSMUSG00000069520","Tmem19","67226"
"ENSMUSG00000020137 - Thap2","ENSMUSG00000020137","Thap2","66816"
"ENSMUSG00000034163 - Zfc3h1","ENSMUSG00000034163","Zfc3h1","216345"
"ENSMUSG00000020140 - Lgr5","ENSMUSG00000020140","Lgr5","14160"
"ENSMUSG00000092210 - A930009A15Rik","ENSMUSG00000092210","A930009A15Rik","77798"
"ENSMUSG00000034127 - Tspan8","ENSMUSG00000034127","Tspan8","216350"
"ENSMUSG00000020151 - Ptprr","ENSMUSG00000020151","Ptprr","19279"
"ENSMUSG00000020154 - Ptprb","ENSMUSG00000020154","Ptprb","19263"
"ENSMUSG00000054934 - Kcnmb4","ENSMUSG00000054934","Kcnmb4","58802"
"ENSMUSG00000085837 - Kcnmb4os2","ENSMUSG00000085837","Kcnmb4os2","100504412"
"ENSMUSG00000020166 - Cnot2","ENSMUSG00000020166","Cnot2","72068"
"ENSMUSG00000052291 - Gm31593","ENSMUSG00000052291","Gm31593","102633868"
"ENSMUSG00000034057 - Myrfl","ENSMUSG00000034057","Myrfl","237558"
"ENSMUSG00000064181 - Rab3ip","ENSMUSG00000064181","Rab3ip","216363"
"ENSMUSG00000112627 - 4933412E12Rik","ENSMUSG00000112627","4933412E12Rik","71086"
"ENSMUSG00000111966 - Gm5781","ENSMUSG00000111966","Gm5781","544741"
"ENSMUSG00000020169 - Best3","ENSMUSG00000020169","Best3","382427"
"ENSMUSG00000060187 - Lrrc10","ENSMUSG00000060187","Lrrc10","237560"
"ENSMUSG00000034024 - Cct2","ENSMUSG00000034024","Cct2","12461"
"ENSMUSG00000020170 - Frs2","ENSMUSG00000020170","Frs2","327826"
"ENSMUSG00000020171 - Yeats4","ENSMUSG00000020171","Yeats4","64050"
"ENSMUSG00000020177 - Lyz3","ENSMUSG00000020177","Lyz3","77397"
"ENSMUSG00000069516 - Lyz2","ENSMUSG00000069516","Lyz2","17105"
"ENSMUSG00000069515 - Lyz1","ENSMUSG00000069515","Lyz1","17110"
"ENSMUSG00000055531 - Cpsf6","ENSMUSG00000055531","Cpsf6","432508"
"ENSMUSG00000043800 - Kifc5c-ps","ENSMUSG00000043800","Kifc5c-ps","94118"
"ENSMUSG00000020183 - Cpm","ENSMUSG00000020183","Cpm","70574"
"ENSMUSG00000020184 - Mdm2","ENSMUSG00000020184","Mdm2","17246"
"ENSMUSG00000060181 - Slc35e3","ENSMUSG00000060181","Slc35e3","215436"
"ENSMUSG00000052798 - Nup107","ENSMUSG00000052798","Nup107","103468"
"ENSMUSG00000052681 - Rap1b","ENSMUSG00000052681","Rap1b","215449"
"ENSMUSG00000020212 - Mdm1","ENSMUSG00000020212","Mdm1","17245"
"ENSMUSG00000074695 - Il22","ENSMUSG00000074695","Il22","50929"
"ENSMUSG00000055170 - Ifng","ENSMUSG00000055170","Ifng","15978"
"ENSMUSG00000028630 - Dyrk2","ENSMUSG00000028630","Dyrk2","69181"
"ENSMUSG00000112778 - Gm33677","ENSMUSG00000112778","Gm33677","102636674"
"ENSMUSG00000020114 - Cand1","ENSMUSG00000020114","Cand1","71902"
"ENSMUSG00000034813 - Grip1","ENSMUSG00000034813","Grip1","74053"
"ENSMUSG00000020228 - Helb","ENSMUSG00000020228","Helb","117599"
"ENSMUSG00000020227 - Irak3","ENSMUSG00000020227","Irak3","73914"
"ENSMUSG00000020225 - Tmbim4","ENSMUSG00000020225","Tmbim4","68212"
"ENSMUSG00000020224 - Llph","ENSMUSG00000020224","Llph","66225"
"ENSMUSG00000056758 - Hmga2","ENSMUSG00000056758","Hmga2","15364"
"ENSMUSG00000090191 - 9230105E05Rik","ENSMUSG00000090191","9230105E05Rik","320626"
"ENSMUSG00000051236 - Msrb3","ENSMUSG00000051236","Msrb3","320183"
"ENSMUSG00000087480 - Gm15910","ENSMUSG00000087480","Gm15910","100504616"
"ENSMUSG00000048661 - Lemd3","ENSMUSG00000048661","Lemd3","380664"
"ENSMUSG00000082936 - Gm16166","ENSMUSG00000082936","Gm16166","100384883"
"ENSMUSG00000020218 - Wif1","ENSMUSG00000020218","Wif1","24117"
"ENSMUSG00000112846 - 4930432O09Rik","ENSMUSG00000112846","4930432O09Rik","74647"
"ENSMUSG00000112871 - Gm35404","ENSMUSG00000112871","Gm35404","102638971"
"ENSMUSG00000052302 - Tbc1d30","ENSMUSG00000052302","Tbc1d30","74694"
"ENSMUSG00000111940 - Gm4478","ENSMUSG00000111940","Gm4478","100043498"
"ENSMUSG00000034707 - Gns","ENSMUSG00000034707","Gns","75612"
"ENSMUSG00000025795 - Rassf3","ENSMUSG00000025795","Rassf3","192678"
"ENSMUSG00000112527 - Gm35696","ENSMUSG00000112527","Gm35696","102639366"
"ENSMUSG00000020115 - Tbk1","ENSMUSG00000020115","Tbk1","56480"
"ENSMUSG00000034667 - Xpot","ENSMUSG00000034667","Xpot","73192"
"ENSMUSG00000047642 - D930020B18Rik","ENSMUSG00000047642","D930020B18Rik","216393"
"ENSMUSG00000053684 - Kics2","ENSMUSG00000053684","Kics2","270802"
"ENSMUSG00000020121 - Srgap1","ENSMUSG00000020121","Srgap1","117600"
"ENSMUSG00000034620 - Rxylt1","ENSMUSG00000034620","Rxylt1","216395"
"ENSMUSG00000098138 - Gm9081","ENSMUSG00000098138","Gm9081","668275"
"ENSMUSG00000020123 - Avpr1a","ENSMUSG00000020123","Avpr1a","54140"
"ENSMUSG00000112095 - Sros1","ENSMUSG00000112095","Sros1","319272"
"ENSMUSG00000034613 - Ppm1h","ENSMUSG00000034613","Ppm1h","319468"
"ENSMUSG00000034602 - Mon2","ENSMUSG00000034602","Mon2","67074"
"ENSMUSG00000020124 - Usp15","ENSMUSG00000020124","Usp15","14479"
"ENSMUSG00000044071 - Tafa2","ENSMUSG00000044071","Tafa2","268354"
"ENSMUSG00000020102 - Slc16a7","ENSMUSG00000020102","Slc16a7","20503"
"ENSMUSG00000020105 - Lrig3","ENSMUSG00000020105","Lrig3","320398"
"ENSMUSG00000112492 - Gm9111","ENSMUSG00000112492","Gm9111","668336"
"ENSMUSG00000025436 - Atp23","ENSMUSG00000025436","Atp23","68876"
"ENSMUSG00000112035 - Gm30539","ENSMUSG00000112035","Gm30539","102632477"
"ENSMUSG00000078429 - Ctdsp2","ENSMUSG00000078429","Ctdsp2","52468"
"ENSMUSG00000025432 - Avil","ENSMUSG00000025432","Avil","11567"
"ENSMUSG00000040521 - Tsfm","ENSMUSG00000040521","Tsfm","66399"
"ENSMUSG00000080115 - Eef1akmt3","ENSMUSG00000080115","Eef1akmt3","100504608"
"ENSMUSG00000006732 - Mettl1","ENSMUSG00000006732","Mettl1","17299"
"ENSMUSG00000006724 - Cyp27b1","ENSMUSG00000006724","Cyp27b1","13115"
