"","Ensembl","Symbols","Entrez"
"ENSMUSG00000026825 - Dnm1","ENSMUSG00000026825","Dnm1","13429"
"ENSMUSG00000039205 - Ciz1","ENSMUSG00000039205","Ciz1","68379"
"ENSMUSG00000039195 - Bbln","ENSMUSG00000039195","Bbln","73737"
"ENSMUSG00000026822 - Lcn2","ENSMUSG00000026822","Lcn2","16819"
"ENSMUSG00000026820 - Ptges2","ENSMUSG00000026820","Ptges2","96979"
"ENSMUSG00000026819 - Slc25a25","ENSMUSG00000026819","Slc25a25","227731"
"ENSMUSG00000039164 - Naif1","ENSMUSG00000039164","Naif1","71254"
"ENSMUSG00000039157 - Eeig1","ENSMUSG00000039157","Eeig1","98952"
"ENSMUSG00000026810 - Dpm2","ENSMUSG00000026810","Dpm2","13481"
"ENSMUSG00000046854 - Pip5kl1","ENSMUSG00000046854","Pip5kl1","227733"
"ENSMUSG00000079442 - St6galnac4","ENSMUSG00000079442","St6galnac4","20448"
"ENSMUSG00000026811 - St6galnac6","ENSMUSG00000026811","St6galnac6","50935"
"ENSMUSG00000026817 - Ak1","ENSMUSG00000026817","Ak1","11636"
"ENSMUSG00000026814 - Eng","ENSMUSG00000026814","Eng","13805"
"ENSMUSG00000009566 - Fpgs","ENSMUSG00000009566","Fpgs","14287"
"ENSMUSG00000009555 - Cdk9","ENSMUSG00000009555","Cdk9","107951"
"ENSMUSG00000059013 - Sh2d3c","ENSMUSG00000059013","Sh2d3c","27387"
"ENSMUSG00000039021 - Ttc16","ENSMUSG00000039021","Ttc16","338348"
"ENSMUSG00000009563 - Tor2a","ENSMUSG00000009563","Tor2a","30933"
"ENSMUSG00000053746 - Ptrh1","ENSMUSG00000053746","Ptrh1","329384"
"ENSMUSG00000038987 - Cfap157","ENSMUSG00000038987","Cfap157","227736"
"ENSMUSG00000026797 - Stxbp1","ENSMUSG00000026797","Stxbp1","20910"
"ENSMUSG00000026796 - Niban2","ENSMUSG00000026796","Niban2","227737"
"ENSMUSG00000026792 - Lrsam1","ENSMUSG00000026792","Lrsam1","227738"
"ENSMUSG00000038900 - Rpl12","ENSMUSG00000038900","Rpl12","269261"
"ENSMUSG00000026791 - Slc2a8","ENSMUSG00000026791","Slc2a8","56017"
"ENSMUSG00000038860 - Garnl3","ENSMUSG00000038860","Garnl3","99326"
"ENSMUSG00000038831 - Ralgps1","ENSMUSG00000038831","Ralgps1","241308"
"ENSMUSG00000004105 - Angptl2","ENSMUSG00000004105","Angptl2","26360"
"ENSMUSG00000068966 - Zbtb34","ENSMUSG00000068966","Zbtb34","241311"
"ENSMUSG00000026788 - Zbtb43","ENSMUSG00000026788","Zbtb43","71834"
"ENSMUSG00000038740 - Mvb12b","ENSMUSG00000038740","Mvb12b","72543"
"ENSMUSG00000087461 - C230014O12Rik","ENSMUSG00000087461","C230014O12Rik","329387"
"ENSMUSG00000038718 - Pbx3","ENSMUSG00000038718","Pbx3","18516"
"ENSMUSG00000038696 - Mapkap1","ENSMUSG00000038696","Mapkap1","227743"
"ENSMUSG00000081992 - Gm13408","ENSMUSG00000081992","Gm13408","623448"
"ENSMUSG00000026867 - Gapvd1","ENSMUSG00000026867","Gapvd1","66691"
"ENSMUSG00000026864 - Hspa5","ENSMUSG00000026864","Hspa5","14828"
